rank,mrmr_mean,mrmr_max,combined_mrmr,jmi,cmim
570,"value__fft_coefficient__attr_""angle""__coeff_89","value__fft_coefficient__attr_""angle""__coeff_32","value__fft_coefficient__attr_""abs""__coeff_31","value__fft_coefficient__attr_""angle""__coeff_80","value__fft_coefficient__attr_""angle""__coeff_84"
571,"value__fft_coefficient__attr_""angle""__coeff_44","value__fft_coefficient__attr_""abs""__coeff_13","value__fft_coefficient__attr_""imag""__coeff_25","value__fft_coefficient__attr_""angle""__coeff_81","value__fft_coefficient__attr_""angle""__coeff_85"
572,"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""","value__fft_coefficient__attr_""imag""__coeff_19",value__large_standard_deviation__r_0.05,"value__fft_coefficient__attr_""angle""__coeff_82","value__fft_coefficient__attr_""angle""__coeff_86"
573,"value__fft_coefficient__attr_""real""__coeff_8","value__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)",value__symmetry_looking__r_0.2,"value__fft_coefficient__attr_""angle""__coeff_83","value__fft_coefficient__attr_""angle""__coeff_87"
574,"value__fft_coefficient__attr_""angle""__coeff_77","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""","value__fft_coefficient__attr_""imag""__coeff_36","value__fft_coefficient__attr_""angle""__coeff_84","value__fft_coefficient__attr_""angle""__coeff_88"
575,value__range_count__max_1__min_-1,"value__fft_coefficient__attr_""abs""__coeff_21","value__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_85","value__fft_coefficient__attr_""angle""__coeff_89"
576,"value__fft_coefficient__attr_""imag""__coeff_4",value__index_mass_quantile__q_0.8,"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""","value__fft_coefficient__attr_""angle""__coeff_86","value__fft_coefficient__attr_""angle""__coeff_90"
577,"value__fft_coefficient__attr_""real""__coeff_4","value__fft_coefficient__attr_""abs""__coeff_6",value__time_reversal_asymmetry_statistic__lag_2,"value__fft_coefficient__attr_""angle""__coeff_87","value__fft_coefficient__attr_""angle""__coeff_91"
578,value__number_peaks__n_10,"value__fft_coefficient__attr_""imag""__coeff_14","value__fft_coefficient__attr_""angle""__coeff_77","value__fft_coefficient__attr_""angle""__coeff_88","value__fft_coefficient__attr_""angle""__coeff_92"
579,value__root_mean_square,"value__fft_coefficient__attr_""abs""__coeff_12","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2","value__fft_coefficient__attr_""angle""__coeff_89","value__fft_coefficient__attr_""angle""__coeff_93"
580,"value__fft_coefficient__attr_""abs""__coeff_7","value__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",value__autocorrelation__lag_9,"value__fft_coefficient__attr_""angle""__coeff_90","value__fft_coefficient__attr_""angle""__coeff_94"
581,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2","value__fft_coefficient__attr_""angle""__coeff_29","value__fft_coefficient__attr_""angle""__coeff_56","value__fft_coefficient__attr_""angle""__coeff_91","value__fft_coefficient__attr_""angle""__coeff_95"
582,"value__fft_coefficient__attr_""angle""__coeff_17","value__fft_coefficient__attr_""abs""__coeff_39","value__fft_coefficient__attr_""imag""__coeff_32","value__fft_coefficient__attr_""angle""__coeff_92","value__fft_coefficient__attr_""angle""__coeff_96"
583,"value__fft_coefficient__attr_""abs""__coeff_72","value__fft_coefficient__attr_""angle""__coeff_35","value__fft_coefficient__attr_""abs""__coeff_25","value__fft_coefficient__attr_""angle""__coeff_93","value__fft_coefficient__attr_""angle""__coeff_97"
584,value__sample_entropy,"value__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",value__quantile__q_0.4,"value__fft_coefficient__attr_""angle""__coeff_94","value__fft_coefficient__attr_""angle""__coeff_98"
585,value__fourier_entropy__bins_3,"value__fft_coefficient__attr_""abs""__coeff_60",value__autocorrelation__lag_0,"value__fft_coefficient__attr_""angle""__coeff_95","value__fft_coefficient__attr_""angle""__coeff_99"
586,value__has_duplicate_min,"value__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_44","value__fft_coefficient__attr_""angle""__coeff_96","value__fft_aggregated__aggtype_""centroid"""
587,"value__fft_coefficient__attr_""real""__coeff_11","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2","value__fft_coefficient__attr_""real""__coeff_33","value__fft_coefficient__attr_""angle""__coeff_97","value__fft_aggregated__aggtype_""variance"""
588,"value__fft_coefficient__attr_""angle""__coeff_47",value__time_reversal_asymmetry_statistic__lag_3,"value__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_98","value__fft_aggregated__aggtype_""skew"""
589,"value__fft_coefficient__attr_""angle""__coeff_20",value__ratio_beyond_r_sigma__r_0.5,"value__fft_coefficient__attr_""abs""__coeff_6","value__fft_coefficient__attr_""angle""__coeff_99","value__fft_aggregated__aggtype_""kurtosis"""
590,"value__fft_coefficient__attr_""real""__coeff_33","value__fft_coefficient__attr_""abs""__coeff_17","value__fft_coefficient__attr_""angle""__coeff_12","value__fft_aggregated__aggtype_""centroid""",value__approximate_entropy__m_2__r_0.1
591,"value__fft_coefficient__attr_""abs""__coeff_14","value__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)",value__mean_second_derivative_central,"value__fft_aggregated__aggtype_""variance""",value__approximate_entropy__m_2__r_0.3
592,"value__fft_coefficient__attr_""real""__coeff_59","value__fft_coefficient__attr_""angle""__coeff_9","value__fft_coefficient__attr_""imag""__coeff_6","value__fft_aggregated__aggtype_""skew""",value__approximate_entropy__m_2__r_0.5
593,value__ar_coefficient__coeff_8__k_10,"value__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)","value__linear_trend__attr_""intercept""","value__fft_aggregated__aggtype_""kurtosis""",value__approximate_entropy__m_2__r_0.7
594,"value__fft_coefficient__attr_""abs""__coeff_48","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""","value__fft_coefficient__attr_""angle""__coeff_71",value__approximate_entropy__m_2__r_0.1,value__approximate_entropy__m_2__r_0.9
595,"value__fft_coefficient__attr_""angle""__coeff_25","value__fft_coefficient__attr_""imag""__coeff_4",value__time_reversal_asymmetry_statistic__lag_3,value__approximate_entropy__m_2__r_0.3,value__friedrich_coefficients__coeff_0__m_3__r_30
596,value__fourier_entropy__bins_5,"value__fft_coefficient__attr_""abs""__coeff_16",value__ratio_beyond_r_sigma__r_1,value__approximate_entropy__m_2__r_0.5,value__friedrich_coefficients__coeff_1__m_3__r_30
597,"value__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""abs""__coeff_25",value__quantile__q_0.1,value__approximate_entropy__m_2__r_0.7,value__friedrich_coefficients__coeff_2__m_3__r_30
598,value__symmetry_looking__r_0.1,value__energy_ratio_by_chunks__num_segments_10__segment_focus_8,"value__fft_coefficient__attr_""angle""__coeff_43",value__approximate_entropy__m_2__r_0.9,value__friedrich_coefficients__coeff_3__m_3__r_30
599,value__benford_correlation,"value__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)",value__autocorrelation__lag_3,value__friedrich_coefficients__coeff_0__m_3__r_30,value__max_langevin_fixed_point__m_3__r_30
600,"value__fft_coefficient__attr_""abs""__coeff_34",value__ratio_value_number_to_time_series_length,"value__fft_coefficient__attr_""imag""__coeff_11",value__friedrich_coefficients__coeff_1__m_3__r_30,"value__linear_trend__attr_""rvalue"""
601,"value__fft_coefficient__attr_""angle""__coeff_6","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",value__ratio_beyond_r_sigma__r_10,value__friedrich_coefficients__coeff_2__m_3__r_30,"value__linear_trend__attr_""intercept"""
602,"value__fft_coefficient__attr_""abs""__coeff_25","value__fft_coefficient__attr_""abs""__coeff_31","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2",value__friedrich_coefficients__coeff_3__m_3__r_30,"value__linear_trend__attr_""slope"""
603,value__last_location_of_maximum,"value__fft_coefficient__attr_""angle""__coeff_1",value__lempel_ziv_complexity__bins_10,value__max_langevin_fixed_point__m_3__r_30,"value__linear_trend__attr_""stderr"""
604,value__ar_coefficient__coeff_4__k_10,"value__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_8","value__linear_trend__attr_""rvalue""","value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max"""
605,"value__fft_coefficient__attr_""angle""__coeff_28",value__percentage_of_reoccurring_values_to_all_values,"value__fft_coefficient__attr_""imag""__coeff_38","value__linear_trend__attr_""intercept""","value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min"""
606,value__mean_second_derivative_central,"value__fft_coefficient__attr_""abs""__coeff_15","value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""","value__linear_trend__attr_""slope""","value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean"""
607,value__quantile__q_0.2,"value__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_50","value__linear_trend__attr_""stderr""","value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""var"""
608,"value__fft_coefficient__attr_""abs""__coeff_37","value__fft_coefficient__attr_""imag""__coeff_8","value__fft_coefficient__attr_""imag""__coeff_7","value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max"""
609,value__autocorrelation__lag_3,"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""var""",value__large_standard_deviation__r_0.15000000000000002,"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min"""
610,"value__fft_coefficient__attr_""imag""__coeff_13",value__time_reversal_asymmetry_statistic__lag_1,"value__fft_coefficient__attr_""angle""__coeff_70","value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean"""
611,"value__fft_coefficient__attr_""abs""__coeff_35","value__fft_coefficient__attr_""abs""__coeff_14","value__fft_coefficient__attr_""abs""__coeff_14","value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""var""","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var"""
612,"value__fft_coefficient__attr_""angle""__coeff_41",value__approximate_entropy__m_2__r_0.5,"value__cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max"""
613,"value__fft_coefficient__attr_""angle""__coeff_59","value__fft_coefficient__attr_""abs""__coeff_19","value__fft_coefficient__attr_""angle""__coeff_45","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min"""
614,value__permutation_entropy__dimension_3__tau_1,"value__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",value__symmetry_looking__r_0.25,"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean"""
615,"value__fft_coefficient__attr_""angle""__coeff_21","value__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_93","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var"""
616,"value__fft_coefficient__attr_""real""__coeff_32","value__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",value__number_cwt_peaks__n_5,"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""","value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max"""
617,"value__fft_coefficient__attr_""angle""__coeff_15",value__partial_autocorrelation__lag_4,value__large_standard_deviation__r_0.1,"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""","value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min"""
618,"value__fft_coefficient__attr_""angle""__coeff_85","value__fft_coefficient__attr_""abs""__coeff_7",value__lempel_ziv_complexity__bins_3,"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""","value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean"""
619,value__ratio_beyond_r_sigma__r_1.5,"value__fft_coefficient__attr_""imag""__coeff_13","value__fft_coefficient__attr_""angle""__coeff_59","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var""","value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var"""
620,"value__fft_coefficient__attr_""angle""__coeff_87","value__linear_trend__attr_""rvalue""","value__fft_coefficient__attr_""real""__coeff_31","value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""","value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max"""
621,"value__fft_coefficient__attr_""abs""__coeff_19",value__autocorrelation__lag_4,value__partial_autocorrelation__lag_8,"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""","value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min"""
622,"value__fft_coefficient__attr_""angle""__coeff_97","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6","value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""","value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""","value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean"""
623,value__autocorrelation__lag_9,value__quantile__q_0.7,"value__fft_coefficient__attr_""angle""__coeff_13","value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""","value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var"""
624,"value__fft_coefficient__attr_""angle""__coeff_71","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""",value__ratio_beyond_r_sigma__r_1.5,"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""","value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max"""
625,"value__fft_coefficient__attr_""angle""__coeff_48",value__maximum,"value__fft_coefficient__attr_""imag""__coeff_29","value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""","value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min"""
626,value__approximate_entropy__m_2__r_0.7,"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",value__autocorrelation__lag_6,"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""","value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean"""
627,"value__fft_coefficient__attr_""angle""__coeff_45","value__fft_coefficient__attr_""angle""__coeff_4","value__fft_coefficient__attr_""real""__coeff_11","value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""","value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var"""
628,value__ratio_beyond_r_sigma__r_10,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""","value__fft_coefficient__attr_""imag""__coeff_66","value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max"""
629,"value__fft_coefficient__attr_""real""__coeff_31",value__number_peaks__n_5,"value__fft_coefficient__attr_""angle""__coeff_48","value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min"""
630,value__approximate_entropy__m_2__r_0.9,"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""","value__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)","value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean"""
631,"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",value__quantile__q_0.8,"value__fft_coefficient__attr_""real""__coeff_75","value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var"""
632,value__lempel_ziv_complexity__bins_3,"value__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""imag""__coeff_61","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max"""
633,value__ratio_beyond_r_sigma__r_1,"value__fft_coefficient__attr_""abs""__coeff_51","value__fft_coefficient__attr_""real""__coeff_32","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min"""
634,"value__fft_coefficient__attr_""angle""__coeff_64",value__index_mass_quantile__q_0.7,"value__fft_coefficient__attr_""angle""__coeff_65","value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean"""
635,"value__fft_coefficient__attr_""abs""__coeff_60","value__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)",value__partial_autocorrelation__lag_6,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var"""
636,"value__fft_coefficient__attr_""abs""__coeff_5","value__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max"""
637,"value__fft_coefficient__attr_""angle""__coeff_43",value__fourier_entropy__bins_10,"value__cwt_coefficients__coeff_6__w_2__widths_(2, 5, 10, 20)","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min"""
638,"value__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_73","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean"""
639,"value__fft_coefficient__attr_""real""__coeff_53",value__fourier_entropy__bins_2,"value__fft_coefficient__attr_""imag""__coeff_47","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var"""
640,"value__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_41","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max"""
641,"value__fft_coefficient__attr_""angle""__coeff_70","value__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""abs""__coeff_48","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min"""
642,value__autocorrelation__lag_6,value__max_langevin_fixed_point__m_3__r_30,"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean"""
643,"value__fft_coefficient__attr_""abs""__coeff_39","value__cwt_coefficients__coeff_5__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_25","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var"""
644,"value__fft_coefficient__attr_""angle""__coeff_33",value__ratio_beyond_r_sigma__r_1,value__large_standard_deviation__r_0.4,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max"""
645,value__permutation_entropy__dimension_5__tau_1,"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""","value__fft_coefficient__attr_""imag""__coeff_69","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min"""
646,"value__fft_coefficient__attr_""angle""__coeff_82","value__cwt_coefficients__coeff_4__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_5","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean"""
647,value__skewness,value__median,"value__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var"""
648,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2",value__kurtosis,"value__fft_coefficient__attr_""angle""__coeff_33","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max"""
649,"value__fft_coefficient__attr_""real""__coeff_28","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",value__range_count__max_1000000000000.0__min_0,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min"""
650,"value__fft_coefficient__attr_""angle""__coeff_73",value__longest_strike_above_mean,"value__fft_coefficient__attr_""imag""__coeff_44","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean"""
651,value__large_standard_deviation__r_0.15000000000000002,"value__cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_64","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var"""
652,"value__fft_coefficient__attr_""angle""__coeff_50","value__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)",value__count_below__t_0,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""","value__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC"""
653,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.4","value__fft_coefficient__attr_""angle""__coeff_7","value__fft_coefficient__attr_""imag""__coeff_15","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""","value__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC"""
654,"value__fft_coefficient__attr_""angle""__coeff_56",value__large_standard_deviation__r_0.25,"value__linear_trend__attr_""pvalue""","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",value__energy_ratio_by_chunks__num_segments_10__segment_focus_0
655,"value__fft_coefficient__attr_""real""__coeff_78",value__minimum,value__permutation_entropy__dimension_3__tau_1,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""",value__energy_ratio_by_chunks__num_segments_10__segment_focus_1
656,value__fourier_entropy__bins_2,"value__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_28","value__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",value__energy_ratio_by_chunks__num_segments_10__segment_focus_2
657,"value__fft_coefficient__attr_""angle""__coeff_83","value__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_16",value__energy_ratio_by_chunks__num_segments_10__segment_focus_0,value__energy_ratio_by_chunks__num_segments_10__segment_focus_3
658,"value__fft_coefficient__attr_""abs""__coeff_31",value__autocorrelation__lag_2,"value__fft_coefficient__attr_""angle""__coeff_0",value__energy_ratio_by_chunks__num_segments_10__segment_focus_1,value__energy_ratio_by_chunks__num_segments_10__segment_focus_4
659,"value__fft_coefficient__attr_""real""__coeff_16","value__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)",value__time_reversal_asymmetry_statistic__lag_1,value__energy_ratio_by_chunks__num_segments_10__segment_focus_2,value__energy_ratio_by_chunks__num_segments_10__segment_focus_5
660,value__fourier_entropy__bins_10,value__last_location_of_minimum,value__symmetry_looking__r_0.05,value__energy_ratio_by_chunks__num_segments_10__segment_focus_3,value__energy_ratio_by_chunks__num_segments_10__segment_focus_6
661,value__large_standard_deviation__r_0.25,"value__fft_coefficient__attr_""abs""__coeff_5","value__fft_coefficient__attr_""abs""__coeff_7",value__energy_ratio_by_chunks__num_segments_10__segment_focus_4,value__energy_ratio_by_chunks__num_segments_10__segment_focus_7
662,"value__fft_coefficient__attr_""angle""__coeff_65",value__c3__lag_1,"value__fft_coefficient__attr_""angle""__coeff_57",value__energy_ratio_by_chunks__num_segments_10__segment_focus_5,value__energy_ratio_by_chunks__num_segments_10__segment_focus_8
663,"value__fft_coefficient__attr_""angle""__coeff_57","value__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)","value__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""",value__energy_ratio_by_chunks__num_segments_10__segment_focus_6,value__energy_ratio_by_chunks__num_segments_10__segment_focus_9
664,value__ratio_beyond_r_sigma__r_3,value__fourier_entropy__bins_100,"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",value__energy_ratio_by_chunks__num_segments_10__segment_focus_7,value__permutation_entropy__dimension_4__tau_1
665,"value__fft_coefficient__attr_""angle""__coeff_5",value__autocorrelation__lag_7,"value__fft_coefficient__attr_""real""__coeff_53",value__energy_ratio_by_chunks__num_segments_10__segment_focus_8,value__permutation_entropy__dimension_5__tau_1
666,value__has_duplicate_max,"value__cwt_coefficients__coeff_5__w_5__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_99",value__energy_ratio_by_chunks__num_segments_10__segment_focus_9,value__permutation_entropy__dimension_6__tau_1
667,"value__fft_coefficient__attr_""real""__coeff_66","value__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)","value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",value__permutation_entropy__dimension_4__tau_1,value__mean_n_absolute_max__number_of_maxima_7
668,"value__fft_coefficient__attr_""angle""__coeff_8",value__c3__lag_2,"value__fft_coefficient__attr_""angle""__coeff_66",value__permutation_entropy__dimension_5__tau_1,value__number_crossing_m__m_-1
669,value__ratio_beyond_r_sigma__r_5,value__symmetry_looking__r_0.2,value__longest_strike_above_mean,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8",value__variance_larger_than_standard_deviation
670,"value__fft_coefficient__attr_""angle""__coeff_99","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""","value__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)","value__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",value__count_above__t_0
